"Year","SiteName","Transect","AverageHeight","AverageWidth","CountofHeight","CountofWidth","SumFlowered","SumBrowsed","PlotArea","Minis","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SeptRain","OctRain","NovRain","DecRain","PrYrRain","JanMaxTemp","FebMaxTemp","MarMaxTemp","AprMaxTemp","MayMaxTemp","JunMaxTemp","JulMaxTemp","AugMaxTemp","SeptMaxTemp","OctMaxTemp","NovMaxTemp","DecMaxTemp"
"1",2008,"Escalante Canyon",0.17,NA,NA,2,2,0,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"2",2008,"Escalante Canyon",11.1,NA,NA,5,5,1,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"3",2008,"Escalante Canyon",12.1,NA,NA,4,4,1,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"4",2008,"Escalante Canyon",17.79,NA,NA,12,12,9,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"5",2008,"Escalante Canyon",22.26,NA,NA,2,2,2,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"6",2008,"Escalante Canyon",23.26,NA,NA,1,1,0,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"7",2008,"Escalante Canyon",4.75,NA,NA,4,4,3,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"8",2008,"Escalante Canyon",5.75,NA,NA,2,2,0,0,20,NA,72.4,58.55,21.49,33.88,49.18,20.03,36.61,34.84,24.25,40.67,47.57,41.73,NA,-2.15,1.7,3.79,8.89,14.52,22.17,27.06,24.89,19.86,13.81,7.53,0.73
"9",2008,"Picnic Site",1.61,NA,NA,8,8,3,0,20,NA,28.06,19.86,4.48,13.32,22.66,11.81,18.3,25.94,7.08,7.06,19.94,32.87,NA,0.37,5.13,10.36,14.78,20.7,28.44,32.28,30.29,25.61,18.51,11.55,2.46
"10",2008,"Picnic Site",12.62,NA,NA,9,9,4,0,20,NA,28.06,19.86,4.48,13.32,22.66,11.81,18.3,25.94,7.08,7.06,19.94,32.87,NA,0.37,5.13,10.36,14.78,20.7,28.44,32.28,30.29,25.61,18.51,11.55,2.46
"11",2008,"Picnic Site",15.07,NA,NA,6,6,5,0,20,NA,28.06,19.86,4.48,13.32,22.66,11.81,18.3,25.94,7.08,7.06,19.94,32.87,NA,0.37,5.13,10.36,14.78,20.7,28.44,32.28,30.29,25.61,18.51,11.55,2.46
"12",2008,"Picnic Site",23.75,NA,NA,8,8,0,0,20,NA,28.06,19.86,4.48,13.32,22.66,11.81,18.3,25.94,7.08,7.06,19.94,32.87,NA,0.37,5.13,10.36,14.78,20.7,28.44,32.28,30.29,25.61,18.51,11.55,2.46
"13",2008,"Picnic Site",6.57,NA,NA,19,19,12,0,20,NA,28.06,19.86,4.48,13.32,22.66,11.81,18.3,25.94,7.08,7.06,19.94,32.87,NA,0.37,5.13,10.36,14.78,20.7,28.44,32.28,30.29,25.61,18.51,11.55,2.46
"14",2008,"Powerline",1,NA,NA,9,9,7,0,50,NA,17.06,17.39,3.26,5.68,20.27,9.02,4.62,18.72,7.24,5.67,18.01,39.97,NA,1.61,6.15,13.27,17.59,22.98,30.03,34.18,32.01,27.69,20.92,13.32,4.28
"15",2008,"Powerline",2,NA,NA,28,28,23,2,50,NA,17.06,17.39,3.26,5.68,20.27,9.02,4.62,18.72,7.24,5.67,18.01,39.97,NA,1.61,6.15,13.27,17.59,22.98,30.03,34.18,32.01,27.69,20.92,13.32,4.28
"16",2008,"Pyramid Rock",1,NA,NA,28,28,6,0,50,NA,24.67,18.63,12.66,25.15,23.56,13.24,16.53,16.41,17.64,7.98,25.4,21.5,NA,0.37,5.43,11.79,16.38,21.93,29.33,33.66,31.29,26.86,19.77,12.35,2.77
"17",2008,"Pyramid Rock",2,NA,NA,38,38,4,1,50,NA,24.67,18.63,12.66,25.15,23.56,13.24,16.53,16.41,17.64,7.98,25.4,21.5,NA,0.37,5.43,11.79,16.38,21.93,29.33,33.66,31.29,26.86,19.77,12.35,2.77
